,Title,Author,My Rating,Number of Pages,Year Published,Original Publication Year,Date Added,recommended,isbn,categories,description,publisher
0,"Gay New York: Gender, Urban Culture, and the Making of the Gay Male World 1890-1940",George Chauncey,4,496.0,1995.0,1994.0,2019-11-01,False,,['History'],"Shattering the myth that gay life only existed in the closet before the 1960s, a winner of the 1994 Los Angeles Times Book Prize for History focuses on New York City and recreates the places gay men gathered. Reprint.",Basic Books
1,"The Source of Self-Regard: Selected Essays, Speeches, and Meditations",Toni Morrison,2,354.0,2019.0,2019.0,2019-06-15,False,9780525521037,['Literary Collections'],"Arguably the most celebrated and revered writer of our time now gives us a new nonfiction collection--a rich gathering of her essays, speeches, and meditations on society, culture, and art, spanning four decades. The Source of Self-Regard is brimming with all the elegance of mind and style, the literary prowess and moral compass that are Toni Morrison's inimitable hallmark. It is divided into three parts: the first is introduced by a powerful prayer for the dead of 9/11; the second by a searching meditation on Martin Luther King Jr., and the last by a heart-wrenching eulogy for James Baldwin. In the writings and speeches included here, Morrison takes on contested social issues: the foreigner, female empowerment, the press, money, ""black matter(s),"" and human rights. She looks at enduring matters of culture: the role of the artist in society, the literary imagination, the Afro-American presence in American literature, and in her Nobel lecture, the power of language itself. And here too is piercing commentary on her own work (including The Bluest Eye, Sula, Tar Baby, Jazz, Beloved, and Paradise) and that of others, among them, painter and collagist Romare Bearden, author Toni Cade Bambara, and theater director Peter Sellars. In all, The Source of Self-Regard is a luminous and essential addition to Toni Morrison's oeuvre.",Knopf
4,Over the Top: A Raw Journey to Self-Love,Jonathan Van Ness,2,400.0,2019.0,2019.0,2019-10-26,False,9780062906397,['Biography & Autobiography'],"A laugh-and-cry-out-loud memoir from the beloved star of Netflix’s Queer Eye, Jonathan Van Ness Who gave Jonathan Van Ness permission to be the radiant human he is today? No one, honey. The truth is, it hasn’t always been gorgeous for this beacon of positivity and joy. Before he stole our hearts as the grooming and self-care expert on Netflix’s hit show Queer Eye, Jonathan was growing up in a small Midwestern town that didn’t understand why he was so…over the top. From choreographed carpet figure skating routines to the unavoidable fact that he was Just. So. Gay., Jonathan was an easy target and endured years of judgement, ridicule and trauma—yet none of it crushed his uniquely effervescent spirit. Over the Top uncovers the pain and passion it took to end up becoming the model of self-love and acceptance that Jonathan is today. In this revelatory, raw, and rambunctious memoir, Jonathan shares never-before-told secrets and reveals sides of himself that the public has never seen. JVN fans may think they know the man behind the stiletto heels, the crop tops, and the iconic sayings, but there’s much more to him than meets the Queer Eye. You’ll laugh, you’ll cry, and you’ll come away knowing that no matter how broken or lost you may be, you’re a Kelly Clarkson song, you’re strong, and you’ve got this.",Harper
5,Never Enough: The Neuroscience and Experience of Addiction,Judith Grisel,4,256.0,2019.0,2019.0,2019-10-25,False,9780385542845,['Biography & Autobiography'],"From a renowned behavioral neuroscientist and recovered drug addict, this is the authoritative and accessible guide to understanding drug addiction that we've been waiting for: clearly explained brain science and vivid personal stories combine to reveal how addiction happens and what can be done about it. Addiction is epidemic and catastrophic. With more than one in every five people over the age of fourteen addicted, drug abuse has been called the most formidable health problem worldwide. If we are not victims ourselves, we all know someone struggling with the merciless compulsion to alter their experience by changing how their brain functions. Drawing on years of research--as well as personal experience as a recovered addict--researcher and professor Judy Grisel has reached a fundamental conclusion: for the addict, there will never be enough drugs. The brain's capacity to learn and adapt is seemingly infinite, allowing it to counteract any regular disruption, including that caused by drugs. What begins as a normal state punctuated by periods of being high transforms over time into a state of desperate craving that is only temporarily subdued by a fix, explaining why addicts are unable to live either with or without their drug. One by one, Grisel shows how different drugs act on the brain, the kind of experiential effects they generate, and the specific reasons why each is so hard to kick. Grisel's insights lead to a better understanding of the brain's critical contributions to addictive behavior, and will help inform a more rational, coherent, and compassionate response to the epidemic in our homes and communities.",Doubleday Books
7,Hurricanes: A Memoir,Rick  Ross,2,288.0,2019.0,2019.0,2019-10-24,False,9781488053634,['Biography & Autobiography'],"*NEW YORK TIMES BESTSELLER* “A gripping journey.”—People The highly anticipated memoir from hip-hop icon Rick Ross chronicles his coming of age amid Miami’s crack epidemic, his star-studded controversies and his unstoppable rise to fame. Rick Ross is an indomitable presence in the music industry, but few people know his full story. Now, for the first time, Ross offers a vivid, dramatic and unexpectedly candid account of his early childhood, his tumultuous adolescence and his dramatic ascendancy in the world of hip-hop. Born William Leonard Roberts II, Ross grew up “across the bridge,” in a Miami at odds with the glitzy beaches, nightclubs and yachts of South Beach. In the aftermath of the 1980 race riots and the Mariel boatlift, Ross came of age at the height of the city’s crack epidemic, when home invasions and execution-style killings were commonplace. Still, in the midst of the chaos and danger that surrounded him, Ross flourished, first as a standout high school football player and then as a dope boy in Carol City’s notorious Matchbox housing projects. All the while he honed his musical talent, overcoming setback after setback until a song called “Hustlin’” changed his life forever. From the making of “Hustlin’” to his first major label deal with Def Jam, to the controversy surrounding his past as a correctional officer and the numerous health scares, arrests and feuds he had to transcend along the way, Hurricanes is a revealing portrait of one of the biggest stars in the rap game, and an intimate look at the birth of an artist.",Hanover Square Press
8,Zoobiquity: The Astonishing Connection Between Human and Animal Health,Barbara Natterson-Horowitz,5,416.0,2013.0,2012.0,2018-04-27,True,9780307477439,['Medical'],"Draws on a wide range of disciplines to explore the parallels between humans and animals and what nature can teach about the human mind and body, sharing case studies about animal and human commonalities to explain new developments in health care.",Vintage
11,Me,Elton John,3,352.0,2019.0,2019.0,2019-10-19,False,9781250147608,['Biography & Autobiography'],"In his first and only official autobiography, music icon Elton John reveals the truth about his extraordinary life, which is also the subject of the upcoming film Rocketman. The result is Me - the joyously funny, honest and moving story of the most enduringly successful singer/songwriter of all time. Christened Reginald Dwight, he was a shy boy with Buddy Holly glasses who grew up in the London suburb of Pinner and dreamed of becoming a pop star. By the age of twenty-three, he was on his first tour of America, facing an astonished audience in his tight silver hotpants, bare legs and a T-shirt with ROCK AND ROLL emblazoned across it in sequins. Elton John had arrived and the music world would never be the same again. His life has been full of drama, from the early rejection of his work with song-writing partner Bernie Taupin to spinning out of control as a chart-topping superstar; from half-heartedly trying to drown himself in his LA swimming pool to disco-dancing with the Queen; from friendships with John Lennon, Freddie Mercury and George Michael to setting up his AIDS Foundation. All the while, Elton was hiding a drug addiction that would grip him for over a decade. In Me Elton also writes powerfully about getting clean and changing his life, about finding love with David Furnish and becoming a father. In a voice that is warm, humble and open, this is Elton on his music and his relationships, his passions and his mistakes. This is a story that will stay with you, by a living legend.",Henry Holt & Company
13,The Art of Living,Thich Nhat Hanh,5,224.0,2017.0,2017.0,2019-10-18,True,9781846045097,['Conduct of life'],"Thich Nhat Hanh is the subject of the major documentary Walk With Me narrated by Benedict CumberbatchMaster the art of living from one of the world?s most revered spiritual leaders.Thich Nhat Hanh, the world?s most renowned Zen master, turns his mindful attention to the most important subject of all - the art of living. The bestselling author of The Miracle of Mindfulnesspresents, for the first time, seven transformative meditations that open up new perspectives on our lives, our relationships and our interconnectedness with the world around us. He reveals an art of living in mindfulness that helps us answer life's deepest questions, experience the happiness and freedom we desire and face ageing and dying with curiosity and joy instead of fear.Stimulating and inspiring, this book teaches us the importance of looking inside ourselves and developing compassion, before we can turn to our relationships at home and in the wider world. Full of remarkable stories from Thich Nhat Hanh?s own experiences and mindful practices for engaging with life, this will be a book that will help us generate happiness, understanding and love so we can live deeply in each moment of our life, right where we are.",Rider
14,How We Fight For Our Lives,Saeed Jones,1,192.0,2019.0,2019.0,2019-10-17,False,9781501132735,['Biography & Autobiography'],"WINNER OF THE 2019 KIRKUS PRIZE IN NONFICTION One of the most anticipated books of Fall 2019—as selected by O, The Oprah Magazine; Marie Claire; Entertainment Weekly; Time; The Millions; Refinery29; Good Housekeeping; and many more. “A moving, bracingly honest memoir that reads like fevered poetry.” —THE NEW YORK TIMES BOOK REVIEW “Jones’s voice and sensibility are so distinct that he turns one of the oldest of literary genres inside out and upside down.” —NPR’S FRESH AIR “An astonishing, unparalleled memoir…A rhapsody in the truest sense of the word.” —ROXANE GAY “Every single living half-grown and grown-up body needs to read this book.” —JACQUELINE WOODSON “People don’t just happen,” writes Saeed Jones. “We sacrifice former versions of ourselves. We sacrifice the people who dared to raise us. The ‘I’ it seems doesn’t exist until we are able to say, ‘I am no longer yours.’” Haunted and haunting, How We Fight for Our Lives is a stunning coming-of-age memoir. Jones tells the story of a young, black, gay man from the South as he fights to carve out a place for himself, within his family, within his country, within his own hopes, desires, and fears. Through a series of vignettes that chart a course across the American landscape, Jones draws readers into his boyhood and adolescence—into tumultuous relationships with his family, into passing flings with lovers, friends, and strangers. Each piece builds into a larger examination of race and queerness, power and vulnerability, love and grief: a portrait of what we all do for one another—and to one another—as we fight to become ourselves. An award-winning poet, Jones has developed a style that’s as beautiful as it is powerful—a voice that’s by turns a river, a blues, and a nightscape set ablaze. How We Fight for Our Lives is a one-of-a-kind memoir and a book that cements Saeed Jones as an essential writer for our time.",Simon & Schuster
15,Gender and Our Brains: How New Neuroscience Explodes the Myths of the Male and Female Minds,Gina Rippon,4,448.0,2019.0,2019.0,2019-10-17,False,9781524747039,['Psychology'],"A breakthrough work in neuroscience and an incisive corrective to a long history of damaging pseudo-science, finally debunking the myth that there is a biological distinction between male and female brains. For decades if not centuries, science has backed up society’s simple dictum that men and women are hardwired differently, that the world is divided by two different kinds of brains—male and female. However, new research in neuroimaging suggests that this is little more than “neurotrash.” In this powerfully argued work, acclaimed professor of neuroimaging, Gina Rippon, finally challenges this damaging myth by showing how the science community has engendered bias and stereotype by rewarding studies that show difference rather than sameness. Drawing on cutting edge research in neuroscience and psychology, Rippon presents the latest evidence which finally proves that brains are like mosaics comprised of both male and female components, and that they remain plastic, adapting throughout the course of a person’s life. Discernable gender identities, she asserts, are shaped by society where scientific misconceptions continue to be wielded and perpetuated to the detriment of our children, our own lives, and our culture.",Pantheon
